Overall Record: 20-11   Conf: 17-5   Home: 11-3   Away: 9-3   Neutral: 0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Player,,GP-GS,,MIN,,AVG,,FG FG-FGA,,,,,FG%,"3PT
3FG-FGA",,3FG%,FT FT-FTA,FT%,OFF,Rebounds DEF    TOT,,AVG,PF,DQ,A,TO,BLK,STL,PTS,AVG,,
15,"Carlisle, Chelsea",,31-31,,1095,,35.3,,191-479,,,,,0.399,77-230,,0.335,110-135,0.815,13,134,147,4.7,34,0,174,90,6,68,569,18.4,,
05,"Osga, Emily",,31-31,,995,,32.1,,129-291,,,,,0.443,42-113,,0.372,59-80,0.738,69,114,183,5.9,60,3,96,60,2,45,359,11.6,,
25,"Freidenberg, Lauren",,31-31,,836,,27.0,,136-264,,,,,0.515,0-0,,0.000,76-107,0.710,77,135,212,6.8,71,2,20,61,8,30,348,11.2,,
11,"Feder, Daisy",,31-5,,519,,16.7,,82-207,,,,,0.396,60-155,,0.387,60-72,0.833,5,39,44,1.4,44,1,15,29,0,13,284,9.2,,
24,"Grady, Erin",,31-22,,724,,23.4,,69-158,,,,,0.437,6-23,,0.261,55-83,0.663,48,75,123,4.0,44,0,40,54,6,24,199,6.4,,
32,"White, Elaina",,26-5,,422,,16.2,,42-98,,,,,0.429,10-34,,0.294,14-19,0.737,24,46,70,2.7,43,0,18,35,0,8,108,4.2,,
34,"Dautremont, Erin",,30-4,,388,,12.9,,46-107,,,,,0.430,2-5,,0.400,32-43,0.744,33,37,70,2.3,53,1,19,29,1,9,126,4.2,,
21,"Perry, Megan",,30-20,,567,,18.9,,37-69,,,,,0.536,24-39,,0.615,18-24,0.750,23,38,61,2.0,52,2,38,26,3,11,116,3.9,,
03,"Anderson-Jew, Nicole",,31-6,,462,,14.9,,23-66,,,,,0.348,15-38,,0.395,13-19,0.684,8,34,42,1.4,43,0,58,38,1,24,74,2.4,,
31,"Yano, Stephanie",,21-0,,140,,6.7,,10-18,,,,,0.556,4-7,,0.571,13-16,0.813,1,11,12,0.6,19,0,14,25,1,3,37,1.8,,
12,"Usher, Magdalena",,16-0,,152,,9.5,,10-37,,,,,0.270,3-9,,0.333,1-3,0.333,5,27,32,2.0,24,1,3,14,4,5,24,1.5,,
20,"Marty, Rachel",,11-0,,86,,7.8,,4-14,,,,,0.286,3-12,,0.250,2-5,0.400,0,8,8,0.7,10,0,3,11,0,2,13,1.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
