,,,,,,,,,,,,"#       Player                                           GP         G          A        PTS       SH      SH%     SOG      SOG%     GW     PK-ATT
9        Sabouri, Jonathan                        18         4          3         11        18     0.222     10       0.556       1         0-0",,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,"Jones, Brett",,,,19,,,,,3,,4,10,,39,,0.077,18,,0.462,1,0-0,,
7,,,,,,,,,,,,,,"Sartor, Andy",,,,15,,,,,4,,0,8,,15,,0.267,7,,0.467,2,0-0,,
13,,,,,,,,,,,,,,"Cordell, Christian",,,,19,,,,,3,,1,7,,18,,0.167,8,,0.444,1,0-0,,
27,,,,,,,,,,,,,,"Cirrito, Nick",,,,19,,,,,2,,3,7,,24,,0.083,9,,0.375,1,0-0,,
,,,,,,,,,,,,,,"Kristjansson, Jon v",,,,19,,,,,1,,4,6,,14,,0.071,1,,0.071,0,0-0,,
15,,,,,,,,,,,,,,"Bloom, Nathaniel",,,,14,,,,,2,,2,6,,7,,0.286,4,,0.571,2,0-0,,
5,,,,,,,,,,,,,,"Stoop, Jonathan",,,,19,,,,,2,,1,5,,10,,0.200,5,,0.500,2,0-0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,22,"Powers, Jeff",,,,18,,,,,1,,3,5,,16,,0.063,7,,0.438,1,0-0,,
,,,,,,,,,,,,,"11
18
19
21","Cooksey, Kiefer                            19         1          1          3         11     0.091      4        0.364       0         0-1
Buckley, Darragh                          13         0          2          2          0      0.000      0        0.000       0         0-0
Davis, Matt                                  19         0          2          2          5      0.000      0        0.000       0         0-0
Merrill, Matt                                 16         1          0          2          9      0.111      2        0.222       1         0-0",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,23,"Gonda, Max                                  6",,,,,,,,,1,,0,2,,2,,0.500,1,,0.500,1,0-0,,
,,,,,,,,,,,,,2,"Fields, Hunter                              19",,,,,,,,,0,,1,1,,15,,0.000,4,,0.267,0,0-0,,
,,,,,,,,,,,,,3,"Kilic, Stjepan                                6",,,,,,,,,0,,0,0,,2,,0.000,0,,0.000,0,0-0,,
,,,,,,,,,,,,,4,"Uribe, Kelvin                                16",,,,,,,,,0,,0,0,,0,,0.000,0,,0.000,0,0-0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Karam, Jordan",,,1,,,0,,,0,,0,,0,0.000,,0,,0.000,,0,,,0-0,,,,,,,,,,,,,
17,"Ordaz, Abraham",,,1,,,0,,,0,,0,,0,0.000,,0,,0.000,,0,,,0-0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-14-2018,,at Cal Poly Pomona,,,,L   0-2,,498,,,,,24,"Sonenstein, Noah",,,,5,,,,,0,,0,0,1,,,0.000,1,,1.000,0,0-0,,
,,,,,,,,,,,,,28,"Nelson, Oliver",,,,18,,,,,0,,0,0,6,,,0.000,1,,0.167,0,0-0,,
,,,,,,,,,,,,,30,"Enciso, Pedro",,,,19,,,,,0,,0,0,0,,,0.000,0,,0.000,0,0-0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
