#       Player,,,,,,GP,,G,,A,PTS,,SH,SH%,SOG,SOG%,YC-RC,GW,PK-ATT,,,,,,,,,,,
"Iribarren, Inaki",,,,,,18,,11,,0,22,,44,0.250,18,0.409,2-0,2,0-0,,,,,,,,,,,
"10     Allen, Alessandro",,,,,,18,,4,,3,11,,24,0.167,11,0.458,0-0,0,3-3,,,,,,,,,,,
"23     Carvalho, Max",,,,,,18,,4,,3,11,,30,0.133,17,0.567,0-0,2,0-1,,,,,,,,,,,
Team,,,,,,2,,2,,0,4,,0,0.000,0,0.000,0-0,0,0-0,,,,,,,,,,,
"9       Arens, Brian",,,,,,17,,1,,1,3,,9,0.111,5,0.556,3-0,0,0-0,,,,,,,,,,,
"24     Jacobus, Carter",,,,,,18,,1,,1,3,,5,0.200,2,0.400,0-0,0,0-0,,,,,,,,,,,
"17     Kim, Alan",,,,,,13,,1,,1,3,,9,0.111,3,0.333,2-0,0,0-0,,,,,,,,,,,
"32     Redington, James",,,,,,17,,0,,3,3,,4,0.000,3,0.750,3-0,0,0-0,,,,,,,,,,,
"7       Valverde, Andrew",,,,,,18,,0,,3,3,,19,0.000,6,0.316,0-0,0,0-0,,,,,,,,,,,
"8       Hagan, Jack",,,,,,16,,0,,2,2,,7,0.000,2,0.286,1-0,0,0-0,,,,,,,,,,,
"20     Gibson, Asa",,,,,,14,,0,,1,1,,4,0.000,3,0.750,2-1,0,0-0,,,,,,,,,,,
"31     McGee, Andrew",,,,,,11,,0,,1,1,,5,0.000,1,0.200,0-0,0,0-0,,,,,,,,,,,
"22     Place, Connor",,,,,,17,,0,,1,1,,6,0.000,0,0.000,2-0,0,0-0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
